"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16989","TestSearchEmployee","NunitPlayV2","Fri Feb 13 15:53:49 UTC 2026","passed","Fri Feb 13 15:54:06 UTC 2026","HRMSearchEmployee","NunitPlayV2.UITests","HRMSearchEmployee","TestSearchEmployee"
"","3226","Verify Valid Login","","Fri Feb 13 15:54:06 UTC 2026","passed","Fri Feb 13 15:54:09 UTC 2026","","Authentication","LoginTests","TestLogin"
"","3299","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:53:43 UTC 2026","passed","Fri Feb 13 15:53:46 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
"","204","Test11","NunitPlayV2","Fri Feb 13 15:53:33 UTC 2026","passed","Fri Feb 13 15:53:33 UTC 2026","JsonUpdaterTest","NunitPlayV2.DataDrivenTests","JsonUpdaterTest","Test11"
"","2865","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:53:46 UTC 2026","passed","Fri Feb 13 15:53:49 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
"","2854","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:53:36 UTC 2026","passed","Fri Feb 13 15:53:39 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
"","15134","GeoToolTests","NunitPlayV2","Fri Feb 13 15:54:09 UTC 2026","passed","Fri Feb 13 15:54:24 UTC 2026","LongLatTest","NunitPlayV2.UITests","LongLatTest","GeoToolTests"
"","28097","Verify Add New Employee ","NunitPlayV2","Fri Feb 13 15:53:49 UTC 2026","passed","Fri Feb 13 15:54:17 UTC 2026","HRMTests","NunitPlayV2.UITests","HRMTests","TestCreateNewEmployee"
"","1447","Test2","NunitPlayV2","Fri Feb 13 15:53:31 UTC 2026","passed","Fri Feb 13 15:53:33 UTC 2026","JsonHandlerTest","NunitPlayV2.DataDrivenTests","JsonHandlerTest","Test2"
"","3564","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:53:39 UTC 2026","passed","Fri Feb 13 15:53:43 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
"","4729","UserShouldBeAbleToRegister","NunitPlayV2","Fri Feb 13 15:53:31 UTC 2026","passed","Fri Feb 13 15:53:36 UTC 2026","FakeDataTests","NunitPlayV2.DataDrivenTests","FakeDataTests","UserShouldBeAbleToRegister"
